status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,495000.0,1.0,2.0,0.07,"111 Hett Ave, Staten Island, NY, 10306",111 Hett Ave,Staten Island,New York,10306.0,967.0,2012-11-05,2012
for_sale,475000.0,3.0,2.0,0.09,"2010 Woodbridge Ave, Edison, NJ, 08817",2010 Woodbridge Ave,Edison,New Jersey,8817.0,1750.0,2022-01-03,2022
for_sale,259990.0,2.0,2.0,0.01,"926 Cedar Ct Unit 926, New Brunswick, NJ, 08901",926 Cedar Ct Unit 926,New Brunswick,New Jersey,8901.0,1181.0,2008-12-15,2008
for_sale,415000.0,3.0,1.0,0.15,"18 Heathcote Ave, Edison, NJ, 08817",18 Heathcote Ave,Edison,New Jersey,8817.0,1128.0,2009-12-02,2009
for_sale,1075000.0,5.0,4.0,0.99,"3 Brenner Ct, Franklin, NJ, 08873",3 Brenner Ct,Franklin,New Jersey,8873.0,3926.0,2011-07-13,2011
for_sale,750000.0,4.0,3.0,0.43,"35 Valley Forge Dr, East Brunswick, NJ, 08816",35 Valley Forge Dr,East Brunswick,New Jersey,8816.0,2478.0,2014-05-28,2014
for_sale,250000.0,1.0,1.0,0.02,"121 Cortelyou Ave Unit 1-4, Staten Island, NY, 10312",121 Cortelyou Ave Unit 1-4,Staten Island,New York,10312.0,729.0,2016-10-21,2016
for_sale,375000.0,4.0,2.0,0.36,"130 Madison St, South Bound Brook, NJ, 08880",130 Madison St,South Bound Brook,New Jersey,8880.0,1341.0,2020-02-19,2020
for_sale,299999.0,2.0,1.0,0.09,"177 Wiman Ave, Staten Island, NY, 10308",177 Wiman Ave,Staten Island,New York,10308.0,688.0,2000-02-17,2000
for_sale,349999.0,3.0,1.0,0.1,"920 Eddy Ave, Linden, NJ, 07036",920 Eddy Ave,Linden,New Jersey,7036.0,912.0,2017-06-26,2017
for_sale,249000.0,2.0,1.0,0.02,"227 Pond Way Unit A, Staten Island, NY, 10303",227 Pond Way Unit A,Staten Island,New York,10303.0,730.0,2015-08-11,2015
for_sale,999999.0,6.0,4.0,0.11,"218 Giffords Ln, Staten Island, NY, 10308",218 Giffords Ln,Staten Island,New York,10308.0,2700.0,2000-07-24,2000
for_sale,2229000.0,5.0,6.0,0.18,"5 Beebe St, Staten Island, NY, 10301",5 Beebe St,Staten Island,New York,10301.0,3922.0,2018-04-24,2018
